Empresas autorizadas a explorar a modalidade lotérica de aposta de quota fixa a partir de 1º de janeiro de 2025 em âmbito nacional, conforme o disposto nas Leis nº 13.756, de 12 de dezembro de 2018, nº 14.790, de 29 de dezembro de 2023, e na regulamentação do Ministério da Fazenda.;;;;;;;;;;;;;;
;;;;PLAYUZU;playuzu.bet.br;;;;;;;;;
37;SPA/MF nº 373, de 24 de fevereiro de 2025;BETBR LOTERIAS LTDA;55.881.028/0001-77;APOSTOU;apostou.bet.br;0045/2024;;;;;;;;
;;;; B1 BET;b1bet.bet.br;;;;;;;;;
;;;;BRBET;brbet.bet.br;;;;;;;;;
38;SPA/MF nº 372, de 24 de fevereiro de 2025;UX ENTERTAINMENT LTDA;56.197.912/0001-50;REALS;reals.bet.br        ;0013/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.896, de 27 de agosto de 2025;;;BINGO;bingo.bet.br;;;;;;;;;
;(E pela Portaria SPA/MF nº 2.292, de 09 de outubro de 2025);;;BETGO;betgo.bet.br;;;;;;;;;
;(E pela Portaria SPA/MF nº 1.066, de 17 de abril de 2026);;;;;;;;;;;;;
39;SPA/MF nº 371, de 24 de fevereiro de 2025;SIMULCASTING BRASIL SOM E IMAGEM S.A.;17.385.948/0001-05;BETSSON;betsson.bet.br;0008/2024;;;;;;;;
40;SPA/MF nº 370, de 24 de fevereiro de 2025;BIG BRAZIL TECNOLOGIA E LOTERIA S.A.; 41.590.869/0001-10;BIG;big.bet.br;0005/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 479, de 10 de março de 2025;;;;;;;;;;;;;
; (E pela Portaria SPA/MF nº 755, de 08 de abril de 2025);;;"
APOSTAR";apostar.bet.br;;;;;;;;;
;(E pela Portaria SPA/MF nº 410, de 12 de fevereiro de 2026);;;;;;;;;;;;;
41;SPA/MF nº 326, de 17 fevereiro de 2025;OPEN GAMING S.A.;53.274.124/0001-21; BET.BET ;betpontobet.bet.br;0103/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 508, de 25 de fevereiro de 2026);;;DONALDBET;donald.bet.br;;;;;;;;;
42;SPA/MF nº 325, de  17 fevereiro de 2025;SEVENX GAMING LTDA;56.504.413/0001-68;BULLSBET;bullsbet.bet.br;0097/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.143, de 23 de maio de 2025);;;JOGÃO;jogao.bet.br;;;;;;;;;
;;;;JOGOS;jogos.bet.br;;;;;;;;;
43;SPA/MF nº 324, de  17 fevereiro de 2025;LOGAME DO BRASIL LTDA;56.349.116/0001-95;LÍDERBET;lider.bet.br        ;0096/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 931, de 1º de abril de 2026);;;GERALBET;geralbet.bet.br     ;;;;;;;;;
44;SPA/MF nº 323, de 17 de fevereiro de 2025;UPBET BRASIL LTDA;56.236.761/0001-00;UPBETBR;up.bet.br           ;0057/2024;;;;;;;;
;;;; 9D;9d.bet.br           ;;;;;;;;;
;;;;WJCASINO;wjcasino.bet.br     ;;;;;;;;;
45;SPA/MF nº 322, de 17 de fevereiro de 2025;ANA GAMING BRASIL S.A.;55.933.850/0001-34;7K;7k.bet.br;0054/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.056, de 14 de maio de 2025);;;CASSINO;cassino.bet.br;;;;;;;;;
;;;;VERA ;vera.bet.br;;;;;;;;;
46;SPA/MF nº 321, de 17 de fevereiro de 2025;HIPER BET TECNOLOGIA LTDA.;55.404.799/0001-73;HIPERBET;hiper.bet.br;0016/2024;;;;;;;;
47;SPA/MF nº 320, de 17 de fevereiro de 2025;EB INTERMEDIACOES E JOGOS S.A.;52.639.845/0001-25 ;ESTRELABET;estrelabet.bet.br;0012/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.762, de 11 de agosto de 2025);;;VUPI;vupi.bet.br;;;;;;;;;
48;SPA/MF nº 319, de 17 de fevereiro de 2025;F12 DO BRASIL JOGOS ELETRONICOS LTDA;51.897.834/0001-82;F12.BET;f12.bet.br;0010/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.423, de 30 de junho de 2025);;; LUVA.BET;luva.bet.br;;;;;;;;;
;;;;BRASIL.BET;brasil.bet.br;;;;;;;;;
49;SPA/MF nº 270, de 10 de fevereiro de 2025;BELL VENTURES DIGITAL LTDA;56.638.458/0001-25 ;BANDBET ;bandbet.bet.br;0051/2024;;;;;;;;
50;SPA/MF nº 265, de 07 de fevereiro de 2025;NEXUS INTERNATIONAL LTDA;55.078.134/0001-17;MEGAPOSTA;megaposta.bet.br;0118/2024;;;;;;;;
51;SPA/MF nº 264, de 07 de fevereiro de 2025;OLAVIR LTDA;56.873.267/0001-48;RIVALO;rivalo.bet.br       ;0105/2024;;;;;;;;
52;SPA/MF nº 263, de 07 de fevereiro de 2025;STAKE BRAZIL LTDA; 56.525.936/0001-90;STAKE;stake.bet.br        ;0079/2024;;;;;;;;
53;SPA/MF nº 262, de 07 de fevereiro de 2025;JOGO PRINCIPAL LTDA;56.302.709/0001-04;GINGABET;ginga.bet.br        ;0073/2024;;;;;;;;
;;;;QGBET ;qg.bet.br           ;;;;;;;;;
;(Retificada em 18 de fevereiro de 2025);;;VIVASORTE;vivasorte.bet.br    ;;;;;;;;;
54;SPA/MF nº 261, de 07 de fevereiro de 2025;BRILLIANT GAMING LTDA;56.259.060/0001-88;AFUN;afun.bet.br;0052/2024;;;;;;;;
;;;; AI ;ai.bet.br;;;;;;;;;
;;;;6Z;6z.bet.br;;;;;;;;;
55;SPA/MF nº 260, de 07 de fevereiro de 2025;SORTENABET GAMING BRASIL S.A.;54.989.030/0001-00;SORTENABET;sortenabet.bet.br   ;0050/2024;;;;;;;;
;;;;BETOU;betou.bet.br;;;;;;;;;
;;;;BETFUSION;betfusion.bet.br    ;;;;;;;;;
56;SPA/MF nº 259, de 07 de fevereiro de 2025;LEVANTE BRASIL LTDA;55.045.663/0001-14;SORTE ONLINE;sorteonline.bet.br  ;0040/2024;;;;;;;;
;;;;LOTTOLAND;lottoland.bet.br    ;;;;;;;;;
57;SPA/MF nº 258, de 07 de fevereiro de 2025;BETSPEED LTDA;56.061.524/0001-47;TIGER.BET;tiger.bet.br;0037/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.426, de 30 de junho de 2025);;;PQ777;pq777.bet.br;;;;;;;;;
;;;;5G;5g.bet.br;;;;;;;;;
58;SPA/MF nº 257, de 07 de fevereiro de 2025;BETESPORTE APOSTAS ON LINE LTDA; 56.295.104/0001-25 ;BETESPORTE;betesporte.bet.br;0033/2024;;;;;;;;
;;;;LANCE DE SORTE ;lancedesorte.bet.br;;;;;;;;;
59;SPA/MF nº 256, de 07 de fevereiro de 2025;SUPREMA BET LTDA;56.183.358/0001-51;SUPREMABET;suprema.bet.br      ;0032/2024;;;;;;;;
; (Alterada pela Portaria SPA/MF nº 1.539, de 14 de julho de 2025);;;MAXIMABET;maxima.bet.br       ;;;;;;;;;
;;;;ULTRABET;ultra.bet.br           ;;;;;;;;;
60;SPA/MF nº 255, de 07 de fevereiro de 2025;CDA GAMING LTDA;56.636.543/0001-54;CASA DE APOSTAS;casadeapostas.bet.br;0029/2024;;;;;;;;
;;;;BET SUL;betsul.bet.br;;;;;;;;;
;(Retificada em 18 de fevereiro de 2025);;;JOGO ONLINE;jogoonline.bet.br;;;;;;;;;
61;SPA/MF nº 254, de 07 de fevereiro de 2025;SC OPERATING BRAZIL LTDA;54.068.631/0001-71;VBET;vbet.bet.br         ;0028/2024;;;;;;;;
;;;;VIVARO;vivaro.bet.br       ;;;;;;;;;
62;SPA/MF nº 253, de 07 de fevereiro de 2025;H2 LICENSED LTDA; 56.303.755/0001-10;SEUBET;seu.bet.br          ;0027/2024;;;;;;;;
;;;;H2 BET;h2.bet.br           ;;;;;;;;;
63;SPA/MF nº 252, de 07 de fevereiro de 2025;LUCKY GAMING LTDA;56.212.040/0001-51;4WIN;4win.bet.br;0025/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 713, de 02 de abril de 2025);;;4PLAY;4play.bet.br;;;;;;;;;
;;;;PAGOL;pagol.bet.br;;;;;;;;;
64;SPA/MF nº 251, de 07 de fevereiro de 2025;APOSTA GANHA LOTERIAS LTDA; 56.001.749/0001-08;APOSTA GANHA;apostaganha.bet.br;0022/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 807, de 23 de março de 2026);;;RECEBA;receba.bet.br;;;;;;;;;
