empresa,cnpj,marcas,dominios,portaria,requerimento,cnpj_basico,cnpj_dv_ok
B3T4 INTERNATIONAL GROUP LTDA,56706644000154,APOSTA BET,aposta.bet.br,"SPA/MF nº 472, de 10 de março de 2025",0063/2024,56706644,True
B3T4 INTERNATIONAL GROUP LTDA,56706644000154,FAZ O BET,fazo.bet.br,"SPA/MF nº 472, de 10 de março de 2025",0063/2024,56706644,True
FOGGO ENTERTAINMENT LTDA,56431248000161,BLAZE,blaze.bet.br,"SPA/MF nº 471, de 10 de março de 2025",0053/2024,56431248,True
FOGGO ENTERTAINMENT LTDA,56431248000161,JONBET,jonbet.bet.br,"SPA/MF nº 471, de 10 de março de 2025",0053/2024,56431248,True
TRACK GAMING BRASIL LTDA,56706701000103,BETWARRIOR,betwarrior.bet.br,"SPA/MF nº 470, de 10 de março de 2025",0049/2024,56706701,True
TRACK GAMING BRASIL LTDA,56706701000103,DR. BINGO,drbingo.bet.br,"SPA/MF nº 470, de 10 de março de 2025",0049/2024,56706701,True
GORILLAS GROUP DO BRASIL LTDA,37456039000128,BET GORILLAS,betgorillas.bet.br,"SPA/MF nº 469, de 10 de março de 2025",0046/2024,37456039,True
GORILLAS GROUP DO BRASIL LTDA,37456039000128,BET BUFFALOS,betbuffalos.bet.br,"SPA/MF nº 469, de 10 de março de 2025",0046/2024,37456039,True
GORILLAS GROUP DO BRASIL LTDA,37456039000128,BET FALCONS,betfalcons.bet.br,"SPA/MF nº 469, de 10 de março de 2025",0046/2024,37456039,True
BLOW MARKETPLACE LTDA,37486405000191,BRAVO,bravo.bet.br,"SPA/MF nº 468, de 10 de março de 2025",0039/2024,37486405,True
BLOW MARKETPLACE LTDA,37486405000191,TRADICIONAL,tradicional.bet.br,"SPA/MF nº 468, de 10 de março de 2025",0039/2024,37486405,True
BLOW MARKETPLACE LTDA,37486405000191,APOSTATUDO,apostatudo.bet.br,"SPA/MF nº 468, de 10 de março de 2025",0039/2024,37486405,True
FAST GAMING S.A.,55980542000160,BETFAST,betfast.bet.br,"SPA/MF nº 467, de 10 de março de 2025",0031/2024,55980542,True
FAST GAMING S.A.,55980542000160,FAZ1BET,faz1.bet.br,"SPA/MF nº 467, de 10 de março de 2025",0031/2024,55980542,True
FAST GAMING S.A.,55980542000160,TIVOBET,tivo.bet.br,"SPA/MF nº 467, de 10 de março de 2025",0031/2024,55980542,True
FUTURAS APOSTAS LTDA,55399607000188,BRAZINO777,brazino777.bet.br,"SPA/MF nº 466, de 10 de março de 2025",0023/2024,55399607,True
GAMEWIZ BRASIL LTDA,56195099000189,IJOGO,ijogo.bet.br,"SPA/MF nº 465, de 10 de março de 2025",0020/2024,56195099,True
GAMEWIZ BRASIL LTDA,56195099000189,FOGO777,fogo777.bet.br,"SPA/MF nº 465, de 10 de março de 2025",0020/2024,56195099,True
GAMEWIZ BRASIL LTDA,56195099000189,P9,p9.bet.br,"SPA/MF nº 465, de 10 de março de 2025",0020/2024,56195099,True
GAMEWIZ BRASIL LTDA,56195099000189,9F,9f.bet.br,"SPA/MF nº 464, de 10 de março de 2025",0019/2024,56195099,True
GAMEWIZ BRASIL LTDA,56195099000189,6R,6r.bet.br,"SPA/MF nº 464, de 10 de março de 2025",0019/2024,56195099,True
GAMEWIZ BRASIL LTDA,56195099000189,BET.APP,betapp.bet.br,"SPA/MF nº 464, de 10 de março de 2025",0019/2024,56195099,True
SABIA ADMINISTRACAO LTDA,04426418000116,BR4BET,br4.bet.br,"SPA/MF nº 399, de 24 de fevereiro de 2025",0066/2024,04426418,True
SABIA ADMINISTRACAO LTDA,04426418000116,GOL DE BET,goldebet.bet.br,"SPA/MF nº 399, de 24 de fevereiro de 2025",0066/2024,04426418,True
SABIA ADMINISTRACAO LTDA,04426418000116,LOTOGREEN,lotogreen.bet.br,"SPA/MF nº 399, de 24 de fevereiro de 2025",0066/2024,04426418,True
SKILL ON NET LTDA,55927219000122,BACANAPLAY,bacanaplay.bet.br,"SPA/MF nº 374, de 24 de fevereiro de 2025",0074/2024,55927219,True
SKILL ON NET LTDA,55927219000122,PLAYUZU,playuzu.bet.br,"SPA/MF nº 374, de 24 de fevereiro de 2025",0074/2024,55927219,True
BETBR LOTERIAS LTDA,55881028000177,APOSTOU,apostou.bet.br,"SPA/MF nº 373, de 24 de fevereiro de 2025",0045/2024,55881028,True
BETBR LOTERIAS LTDA,55881028000177,B1 BET,b1bet.bet.br,"SPA/MF nº 373, de 24 de fevereiro de 2025",0045/2024,55881028,True
BETBR LOTERIAS LTDA,55881028000177,BRBET,brbet.bet.br,"SPA/MF nº 373, de 24 de fevereiro de 2025",0045/2024,55881028,True
UX ENTERTAINMENT LTDA,56197912000150,REALS,reals.bet.br,"SPA/MF nº 372, de 24 de fevereiro de 2025",0013/2024,56197912,True
UX ENTERTAINMENT LTDA,56197912000150,BINGO,bingo.bet.br,"SPA/MF nº 372, de 24 de fevereiro de 2025",0013/2024,56197912,True
UX ENTERTAINMENT LTDA,56197912000150,BETGO,betgo.bet.br,"SPA/MF nº 372, de 24 de fevereiro de 2025",0013/2024,56197912,True
SIMULCASTING BRASIL SOM E IMAGEM S.A.,17385948000105,BETSSON,betsson.bet.br,"SPA/MF nº 371, de 24 de fevereiro de 2025",0008/2024,17385948,True
BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,41590869000110,BIG,big.bet.br,"SPA/MF nº 370, de 24 de fevereiro de 2025",0005/2024,41590869,True
OPEN GAMING S.A.,53274124000121,BET.BET,betpontobet.bet.br,"SPA/MF nº 326, de 17 fevereiro de 2025",0103/2024,53274124,True
OPEN GAMING S.A.,53274124000121,DONALDBET,donald.bet.br,"SPA/MF nº 326, de 17 fevereiro de 2025",0103/2024,53274124,True
SEVENX GAMING LTDA,56504413000168,BULLSBET,bullsbet.bet.br,"SPA/MF nº 325, de  17 fevereiro de 2025",0097/2024,56504413,True
SEVENX GAMING LTDA,56504413000168,JOGÃO,jogao.bet.br,"SPA/MF nº 325, de  17 fevereiro de 2025",0097/2024,56504413,True
SEVENX GAMING LTDA,56504413000168,JOGOS,jogos.bet.br,"SPA/MF nº 325, de  17 fevereiro de 2025",0097/2024,56504413,True
LOGAME DO BRASIL LTDA,56349116000195,LÍDERBET,lider.bet.br,"SPA/MF nº 324, de  17 fevereiro de 2025",0096/2024,56349116,True
LOGAME DO BRASIL LTDA,56349116000195,GERALBET,geralbet.bet.br,"SPA/MF nº 324, de  17 fevereiro de 2025",0096/2024,56349116,True
UPBET BRASIL LTDA,56236761000100,UPBETBR,up.bet.br,"SPA/MF nº 323, de 17 de fevereiro de 2025",0057/2024,56236761,True
UPBET BRASIL LTDA,56236761000100,9D,9d.bet.br,"SPA/MF nº 323, de 17 de fevereiro de 2025",0057/2024,56236761,True
UPBET BRASIL LTDA,56236761000100,WJCASINO,wjcasino.bet.br,"SPA/MF nº 323, de 17 de fevereiro de 2025",0057/2024,56236761,True
