cnpj,cnpj_basico,empresa,n_autorizacoes,cnpj_dv_ok,portarias,n_marcas,marcas,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS,INFORMAÇÕES JUDICIAIS
55080231000144,55080231,VERSUS BRASIL LTDA,2,True,"SPA/MF nº 474, de 10 de março de 2025",2,VERSUSBET | VS - VERSUS,,,,,
55822818000181,55822818,WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,3,True,"SPA/MF nº 473, de 10 de março de 2025",3,BETCOPA | BRASIL DA SORTE | FYBET,,,,,
56706644000154,56706644,B3T4 INTERNATIONAL GROUP LTDA,3,True,"SPA/MF nº 472, de 10 de março de 2025",3,BET4 | APOSTA BET | FAZ O BET,,,,,
56431248000161,56431248,FOGGO ENTERTAINMENT LTDA,2,True,"SPA/MF nº 471, de 10 de março de 2025",2,BLAZE | JONBET,,,,,
56706701000103,56706701,TRACK GAMING BRASIL LTDA,2,True,"SPA/MF nº 470, de 10 de março de 2025",2,BETWARRIOR | DR. BINGO,,,,,
37456039000128,37456039,GORILLAS GROUP DO BRASIL LTDA,3,True,"SPA/MF nº 469, de 10 de março de 2025",3,BET GORILLAS | BET BUFFALOS | BET FALCONS,,,,,
37486405000191,37486405,BLOW MARKETPLACE LTDA,3,True,"SPA/MF nº 468, de 10 de março de 2025",3,BRAVO | TRADICIONAL | APOSTATUDO,,,,,
55980542000160,55980542,FAST GAMING S.A.,3,True,"SPA/MF nº 467, de 10 de março de 2025",3,BETFAST | FAZ1BET | TIVOBET,,,,,
55399607000188,55399607,FUTURAS APOSTAS LTDA,1,True,"SPA/MF nº 466, de 10 de março de 2025",1,BRAZINO777,,,,,
56195099000189,56195099,GAMEWIZ BRASIL LTDA,6,True,"SPA/MF nº 465, de 10 de março de 2025 || SPA/MF nº 464, de 10 de março de 2025",6,IJOGO | FOGO777 | P9 | 9F | 6R | BET.APP,,,,,
04426418000116,04426418,SABIA ADMINISTRACAO LTDA,3,True,"SPA/MF nº 399, de 24 de fevereiro de 2025",3,BR4BET | GOL DE BET | LOTOGREEN,,,,,
55927219000122,55927219,SKILL ON NET LTDA,2,True,"SPA/MF nº 374, de 24 de fevereiro de 2025",2,BACANAPLAY | PLAYUZU,,,,,
55881028000177,55881028,BETBR LOTERIAS LTDA,3,True,"SPA/MF nº 373, de 24 de fevereiro de 2025",3,APOSTOU | B1 BET | BRBET,,,,,
56197912000150,56197912,UX ENTERTAINMENT LTDA,3,True,"SPA/MF nº 372, de 24 de fevereiro de 2025",3,REALS | BINGO | BETGO,,,,,
17385948000105,17385948,SIMULCASTING BRASIL SOM E IMAGEM S.A.,1,True,"SPA/MF nº 371, de 24 de fevereiro de 2025",1,BETSSON,,,,,
41590869000110,41590869,BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,1,True,"SPA/MF nº 370, de 24 de fevereiro de 2025",1,BIG,,,,,
53274124000121,53274124,OPEN GAMING S.A.,2,True,"SPA/MF nº 326, de 17 fevereiro de 2025",2,BET.BET | DONALDBET,,,,,
56504413000168,56504413,SEVENX GAMING LTDA,3,True,"SPA/MF nº 325, de  17 fevereiro de 2025",3,BULLSBET | JOGÃO | JOGOS,,,,,
56349116000195,56349116,LOGAME DO BRASIL LTDA,2,True,"SPA/MF nº 324, de  17 fevereiro de 2025",2,LÍDERBET | GERALBET,,,,,
56236761000100,56236761,UPBET BRASIL LTDA,3,True,"SPA/MF nº 323, de 17 de fevereiro de 2025",3,UPBETBR | 9D | WJCASINO,,,,,
55933850000134,55933850,ANA GAMING BRASIL S.A.,3,True,"SPA/MF nº 322, de 17 de fevereiro de 2025",3,7K | CASSINO | VERA,,,,,
55404799000173,55404799,HIPER BET TECNOLOGIA LTDA.,1,True,"SPA/MF nº 321, de 17 de fevereiro de 2025",1,HIPERBET,,,,,
52639845000125,52639845,EB INTERMEDIACOES E JOGOS S.A.,2,True,"SPA/MF nº 320, de 17 de fevereiro de 2025",2,ESTRELABET | VUPI,,,,,
51897834000182,51897834,F12 DO BRASIL JOGOS ELETRONICOS LTDA,3,True,"SPA/MF nº 319, de 17 de fevereiro de 2025",3,F12.BET | LUVA.BET | BRASIL.BET,,,,,
56638458000125,56638458,BELL VENTURES DIGITAL LTDA,1,True,"SPA/MF nº 270, de 10 de fevereiro de 2025",1,BANDBET,,,,,
55078134000117,55078134,NEXUS INTERNATIONAL LTDA,1,True,"SPA/MF nº 265, de 07 de fevereiro de 2025",1,MEGAPOSTA,,,,,
56873267000148,56873267,OLAVIR LTDA,1,True,"SPA/MF nº 264, de 07 de fevereiro de 2025",1,RIVALO,,,,,
56525936000190,56525936,STAKE BRAZIL LTDA,1,True,"SPA/MF nº 263, de 07 de fevereiro de 2025",1,STAKE,,,,,
56302709000104,56302709,JOGO PRINCIPAL LTDA,3,True,"SPA/MF nº 262, de 07 de fevereiro de 2025",3,GINGABET | QGBET | VIVASORTE,,,,,
56259060000188,56259060,BRILLIANT GAMING LTDA,3,True,"SPA/MF nº 261, de 07 de fevereiro de 2025",3,AFUN | AI | 6Z,,,,,
54989030000100,54989030,SORTENABET GAMING BRASIL S.A.,3,True,"SPA/MF nº 260, de 07 de fevereiro de 2025",3,SORTENABET | BETOU | BETFUSION,,,,,
