cnpj,empresa,marca,dominio,portaria,requerimento,dominio_pareado
56431248000161,FOGGO ENTERTAINMENT LTDA,JONBET,jonbet.bet.br,"SPA/MF nº 471, de 10 de março de 2025",0053/2024,True
56706701000103,TRACK GAMING BRASIL LTDA,BETWARRIOR,betwarrior.bet.br,"SPA/MF nº 470, de 10 de março de 2025",0049/2024,True
56706701000103,TRACK GAMING BRASIL LTDA,DR. BINGO,drbingo.bet.br,"SPA/MF nº 470, de 10 de março de 2025",0049/2024,True
37456039000128,GORILLAS GROUP DO BRASIL LTDA,BET GORILLAS,betgorillas.bet.br,"SPA/MF nº 469, de 10 de março de 2025",0046/2024,True
37456039000128,GORILLAS GROUP DO BRASIL LTDA,BET BUFFALOS,betbuffalos.bet.br,"SPA/MF nº 469, de 10 de março de 2025",0046/2024,True
37456039000128,GORILLAS GROUP DO BRASIL LTDA,BET FALCONS,betfalcons.bet.br,"SPA/MF nº 469, de 10 de março de 2025",0046/2024,True
37486405000191,BLOW MARKETPLACE LTDA,BRAVO,bravo.bet.br,"SPA/MF nº 468, de 10 de março de 2025",0039/2024,True
37486405000191,BLOW MARKETPLACE LTDA,TRADICIONAL,tradicional.bet.br,"SPA/MF nº 468, de 10 de março de 2025",0039/2024,True
37486405000191,BLOW MARKETPLACE LTDA,APOSTATUDO,apostatudo.bet.br,"SPA/MF nº 468, de 10 de março de 2025",0039/2024,True
55980542000160,FAST GAMING S.A.,BETFAST,betfast.bet.br,"SPA/MF nº 467, de 10 de março de 2025",0031/2024,True
55980542000160,FAST GAMING S.A.,FAZ1BET,faz1.bet.br,"SPA/MF nº 467, de 10 de março de 2025",0031/2024,True
55980542000160,FAST GAMING S.A.,TIVOBET,tivo.bet.br,"SPA/MF nº 467, de 10 de março de 2025",0031/2024,True
55399607000188,FUTURAS APOSTAS LTDA,BRAZINO777,brazino777.bet.br,"SPA/MF nº 466, de 10 de março de 2025",0023/2024,True
56195099000189,GAMEWIZ BRASIL LTDA,IJOGO,ijogo.bet.br,"SPA/MF nº 465, de 10 de março de 2025",0020/2024,True
56195099000189,GAMEWIZ BRASIL LTDA,FOGO777,fogo777.bet.br,"SPA/MF nº 465, de 10 de março de 2025",0020/2024,True
56195099000189,GAMEWIZ BRASIL LTDA,P9,p9.bet.br,"SPA/MF nº 465, de 10 de março de 2025",0020/2024,True
56195099000189,GAMEWIZ BRASIL LTDA,9F,9f.bet.br,"SPA/MF nº 464, de 10 de março de 2025",0019/2024,True
56195099000189,GAMEWIZ BRASIL LTDA,6R,6r.bet.br,"SPA/MF nº 464, de 10 de março de 2025",0019/2024,True
56195099000189,GAMEWIZ BRASIL LTDA,BET.APP,betapp.bet.br,"SPA/MF nº 464, de 10 de março de 2025",0019/2024,True
04426418000116,SABIA ADMINISTRACAO LTDA,BR4BET,br4.bet.br,"SPA/MF nº 399, de 24 de fevereiro de 2025",0066/2024,True
04426418000116,SABIA ADMINISTRACAO LTDA,GOL DE BET,goldebet.bet.br,"SPA/MF nº 399, de 24 de fevereiro de 2025",0066/2024,True
04426418000116,SABIA ADMINISTRACAO LTDA,LOTOGREEN,lotogreen.bet.br,"SPA/MF nº 399, de 24 de fevereiro de 2025",0066/2024,True
55927219000122,SKILL ON NET LTDA,BACANAPLAY,bacanaplay.bet.br,"SPA/MF nº 374, de 24 de fevereiro de 2025",0074/2024,True
55927219000122,SKILL ON NET LTDA,PLAYUZU,playuzu.bet.br,"SPA/MF nº 374, de 24 de fevereiro de 2025",0074/2024,True
55881028000177,BETBR LOTERIAS LTDA,APOSTOU,apostou.bet.br,"SPA/MF nº 373, de 24 de fevereiro de 2025",0045/2024,True
55881028000177,BETBR LOTERIAS LTDA,B1 BET,b1bet.bet.br,"SPA/MF nº 373, de 24 de fevereiro de 2025",0045/2024,True
55881028000177,BETBR LOTERIAS LTDA,BRBET,brbet.bet.br,"SPA/MF nº 373, de 24 de fevereiro de 2025",0045/2024,True
56197912000150,UX ENTERTAINMENT LTDA,REALS,reals.bet.br,"SPA/MF nº 372, de 24 de fevereiro de 2025",0013/2024,True
56197912000150,UX ENTERTAINMENT LTDA,BINGO,bingo.bet.br,"SPA/MF nº 372, de 24 de fevereiro de 2025",0013/2024,True
56197912000150,UX ENTERTAINMENT LTDA,BETGO,betgo.bet.br,"SPA/MF nº 372, de 24 de fevereiro de 2025",0013/2024,True
17385948000105,SIMULCASTING BRASIL SOM E IMAGEM S.A.,BETSSON,betsson.bet.br,"SPA/MF nº 371, de 24 de fevereiro de 2025",0008/2024,True
41590869000110,BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,BIG,big.bet.br,"SPA/MF nº 370, de 24 de fevereiro de 2025",0005/2024,True
53274124000121,OPEN GAMING S.A.,BET.BET,betpontobet.bet.br,"SPA/MF nº 326, de 17 fevereiro de 2025",0103/2024,True
53274124000121,OPEN GAMING S.A.,DONALDBET,donald.bet.br,"SPA/MF nº 326, de 17 fevereiro de 2025",0103/2024,True
56504413000168,SEVENX GAMING LTDA,BULLSBET,bullsbet.bet.br,"SPA/MF nº 325, de  17 fevereiro de 2025",0097/2024,True
56504413000168,SEVENX GAMING LTDA,JOGÃO,jogao.bet.br,"SPA/MF nº 325, de  17 fevereiro de 2025",0097/2024,True
56504413000168,SEVENX GAMING LTDA,JOGOS,jogos.bet.br,"SPA/MF nº 325, de  17 fevereiro de 2025",0097/2024,True
56349116000195,LOGAME DO BRASIL LTDA,LÍDERBET,lider.bet.br,"SPA/MF nº 324, de  17 fevereiro de 2025",0096/2024,True
56349116000195,LOGAME DO BRASIL LTDA,GERALBET,geralbet.bet.br,"SPA/MF nº 324, de  17 fevereiro de 2025",0096/2024,True
56236761000100,UPBET BRASIL LTDA,UPBETBR,up.bet.br,"SPA/MF nº 323, de 17 de fevereiro de 2025",0057/2024,True
56236761000100,UPBET BRASIL LTDA,9D,9d.bet.br,"SPA/MF nº 323, de 17 de fevereiro de 2025",0057/2024,True
56236761000100,UPBET BRASIL LTDA,WJCASINO,wjcasino.bet.br,"SPA/MF nº 323, de 17 de fevereiro de 2025",0057/2024,True
55933850000134,ANA GAMING BRASIL S.A.,7K,7k.bet.br,"SPA/MF nº 322, de 17 de fevereiro de 2025",0054/2024,True
55933850000134,ANA GAMING BRASIL S.A.,CASSINO,cassino.bet.br,"SPA/MF nº 322, de 17 de fevereiro de 2025",0054/2024,True
55933850000134,ANA GAMING BRASIL S.A.,VERA,vera.bet.br,"SPA/MF nº 322, de 17 de fevereiro de 2025",0054/2024,True
55404799000173,HIPER BET TECNOLOGIA LTDA.,HIPERBET,hiper.bet.br,"SPA/MF nº 321, de 17 de fevereiro de 2025",0016/2024,True
52639845000125,EB INTERMEDIACOES E JOGOS S.A.,ESTRELABET,estrelabet.bet.br,"SPA/MF nº 320, de 17 de fevereiro de 2025",0012/2024,True
52639845000125,EB INTERMEDIACOES E JOGOS S.A.,VUPI,vupi.bet.br,"SPA/MF nº 320, de 17 de fevereiro de 2025",0012/2024,True
51897834000182,F12 DO BRASIL JOGOS ELETRONICOS LTDA,F12.BET,f12.bet.br,"SPA/MF nº 319, de 17 de fevereiro de 2025",0010/2024,True
51897834000182,F12 DO BRASIL JOGOS ELETRONICOS LTDA,LUVA.BET,luva.bet.br,"SPA/MF nº 319, de 17 de fevereiro de 2025",0010/2024,True
51897834000182,F12 DO BRASIL JOGOS ELETRONICOS LTDA,BRASIL.BET,brasil.bet.br,"SPA/MF nº 319, de 17 de fevereiro de 2025",0010/2024,True
56638458000125,BELL VENTURES DIGITAL LTDA,BANDBET,bandbet.bet.br,"SPA/MF nº 270, de 10 de fevereiro de 2025",0051/2024,True
55078134000117,NEXUS INTERNATIONAL LTDA,MEGAPOSTA,megaposta.bet.br,"SPA/MF nº 265, de 07 de fevereiro de 2025",0118/2024,True
56873267000148,OLAVIR LTDA,RIVALO,rivalo.bet.br,"SPA/MF nº 264, de 07 de fevereiro de 2025",0105/2024,True
56525936000190,STAKE BRAZIL LTDA,STAKE,stake.bet.br,"SPA/MF nº 263, de 07 de fevereiro de 2025",0079/2024,True
56302709000104,JOGO PRINCIPAL LTDA,GINGABET,ginga.bet.br,"SPA/MF nº 262, de 07 de fevereiro de 2025",0073/2024,True
56302709000104,JOGO PRINCIPAL LTDA,QGBET,qg.bet.br,"SPA/MF nº 262, de 07 de fevereiro de 2025",0073/2024,True
56302709000104,JOGO PRINCIPAL LTDA,VIVASORTE,vivasorte.bet.br,"SPA/MF nº 262, de 07 de fevereiro de 2025",0073/2024,True
56259060000188,BRILLIANT GAMING LTDA,AFUN,afun.bet.br,"SPA/MF nº 261, de 07 de fevereiro de 2025",0052/2024,True
56259060000188,BRILLIANT GAMING LTDA,AI,ai.bet.br,"SPA/MF nº 261, de 07 de fevereiro de 2025",0052/2024,True
56259060000188,BRILLIANT GAMING LTDA,6Z,6z.bet.br,"SPA/MF nº 261, de 07 de fevereiro de 2025",0052/2024,True
54989030000100,SORTENABET GAMING BRASIL S.A.,SORTENABET,sortenabet.bet.br,"SPA/MF nº 260, de 07 de fevereiro de 2025",0050/2024,True
